,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,hour,day,month
13501,Cat,Intact Male,365.0,Domestic Shorthair Mix,Cream Tabby,9,4,3
13502,Dog,Intact Male,730.0,Shih Tzu Mix,White/Cream,11,4,1
13503,Dog,Neutered Male,365.0,Chihuahua Shorthair/Dachshund,Brown/White,16,5,12
13504,Dog,Spayed Female,730.0,Pit Bull Mix,Tan,12,3,1
13505,Cat,Neutered Male,2920.0,Siamese Mix,Lynx Point,13,2,3
13506,Cat,Intact Male,30.0,Domestic Medium Hair Mix,Black,17,2,9
13507,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,White/Tan,18,0,4
13508,Dog,Neutered Male,2555.0,Maltese,White,12,6,3
13509,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Torbie,18,0,6
13510,Dog,Neutered Male,1095.0,Miniature Schnauzer Mix,Black/White,17,0,6
13511,Dog,Neutered Male,730.0,Field Spaniel Mix,Black/Brown,12,0,1
13512,Dog,Spayed Female,730.0,Pit Bull Mix,Chocolate/White,11,5,12
13513,Dog,Spayed Female,730.0,Labrador Retriever Mix,Black,18,1,1
13514,Cat,Unknown,7.0,Domestic Shorthair Mix,Blue Tabby,20,2,7
13515,Dog,Spayed Female,365.0,Affenpinscher Mix,Gray/Black,18,3,11
13516,Dog,Neutered Male,730.0,Beagle Mix,Buff/Black,11,1,12
13517,Cat,Intact Male,90.0,Domestic Shorthair Mix,Black/White,14,4,12
13518,Dog,Spayed Female,730.0,Boxer Mix,Red/White,11,1,10
13519,Cat,Intact Male,7.0,Domestic Shorthair Mix,Blue Tabby/White,15,4,9
13520,Dog,Neutered Male,1095.0,Miniature Schnauzer Mix,Black/White,16,1,7
13521,Dog,Neutered Male,730.0,Miniature Poodle/Miniature Schnauzer,Black,17,5,1
13522,Cat,Unknown,14.0,Domestic Shorthair Mix,White/Black,16,6,8
13523,Dog,Neutered Male,330.0,Chihuahua Shorthair Mix,Black,17,2,11
13524,Dog,Spayed Female,365.0,Plott Hound/Blue Lacy,Brown Brindle,0,0,11
13525,Dog,Spayed Female,30.0,Labrador Retriever Mix,Black/White,17,5,2
13526,Dog,Spayed Female,730.0,Pit Bull/Chinese Sharpei,Blue/White,16,3,1
13527,Dog,Intact Male,365.0,Rottweiler,Black/Tan,11,3,8
13528,Dog,Intact Male,60.0,Catahoula Mix,Blue Merle/White,7,1,11
13529,Cat,Intact Female,21.0,Siamese Mix,Tortie Point,15,4,5
13530,Dog,Spayed Female,730.0,Jack Russell Terrier/Cairn Terrier,Tan,15,5,11
13531,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Calico,13,6,8
13532,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Orange/White,11,1,5
13533,Dog,Spayed Female,2920.0,Shih Tzu Mix,White/Gray,18,0,5
13534,Cat,Neutered Male,3650.0,Domestic Medium Hair Mix,Orange Tabby,15,6,4
13535,Dog,Neutered Male,240.0,Jack Russell Terrier/Shih Tzu,Chocolate/Brown,18,4,3
13536,Dog,Neutered Male,60.0,Australian Cattle Dog Mix,Tricolor,13,4,5
13537,Dog,Spayed Female,365.0,Miniature Poodle Mix,White,17,5,10
13538,Cat,Intact Female,365.0,Domestic Shorthair,Orange Tabby,9,1,7
13539,Cat,Intact Male,28.0,Domestic Shorthair Mix,Brown Tabby/White,12,6,4
13540,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Black,8,1,6
13541,Dog,Spayed Female,150.0,Labrador Retriever Mix,Black/White,16,0,4
13542,Dog,Intact Male,60.0,Queensland Heeler/Dachshund,Blue Tick/Red Tick,11,2,5
13543,Dog,Spayed Female,180.0,Miniature Schnauzer/Miniature Poodle,Chocolate,13,2,9
13544,Dog,Spayed Female,1095.0,Miniature Schnauzer,Silver,13,1,10
13545,Dog,Spayed Female,120.0,Maltese Mix,Buff,17,4,11
13546,Cat,Neutered Male,330.0,Domestic Shorthair Mix,Brown Tabby/White,0,1,11
13547,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Cream/White,18,5,5
13548,Dog,Spayed Female,1460.0,Black Mouth Cur/Staffordshire,Fawn,14,0,2
13549,Dog,Spayed Female,1095.0,Labrador Retriever/Redbone Hound,Sable/White,12,3,10
13550,Dog,Intact Female,1095.0,Great Pyrenees,White,13,6,5
13551,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Orange Tabby,12,3,11
13552,Cat,Unknown,365.0,Domestic Shorthair Mix,Brown Tabby,9,3,10
13553,Dog,Neutered Male,240.0,Jack Russell Terrier Mix,Brown,13,6,5
13554,Dog,Spayed Female,3650.0,Pug,Tan/Black,18,1,8
13555,Dog,Neutered Male,90.0,Chihuahua Shorthair/Dachshund,Red/White,17,6,11
13556,Dog,Spayed Female,730.0,American Staffordshire Terrier Mix,Black/White,10,0,4
13557,Dog,Spayed Female,120.0,Chihuahua Shorthair Mix,Sable,13,4,4
13558,Dog,Neutered Male,1095.0,German Shepherd Mix,Sable,23,6,1
13559,Cat,Spayed Female,1460.0,Domestic Shorthair Mix,Calico,15,1,4
13560,Dog,Spayed Female,365.0,Rottweiler Mix,Black/Tan,18,0,2
13561,Dog,Neutered Male,60.0,Dachshund/Manchester Terrier,Brown/White,17,6,6
13562,Dog,Spayed Female,365.0,Beauceron Mix,Black/Tan,12,6,1
13563,Cat,Spayed Female,1825.0,Domestic Shorthair Mix,Brown Tabby,15,0,10
13564,Dog,Spayed Female,60.0,Jack Russell Terrier Mix,White/Buff,17,5,12
13565,Dog,Intact Male,180.0,Pit Bull Mix,Black/White,16,2,4
13566,Dog,Spayed Female,300.0,German Shepherd Mix,Black/Brown,11,0,4
13567,Dog,Neutered Male,60.0,Dachshund/Chihuahua Shorthair,Tricolor,13,5,9
13568,Cat,Spayed Female,2920.0,Domestic Shorthair Mix,Blue/Orange,12,5,12
13569,Cat,Neutered Male,60.0,Domestic Medium Hair Mix,Black,18,0,7
13570,Dog,Intact Female,1095.0,Dachshund Mix,Black/Tricolor,19,0,6
13571,Cat,Neutered Male,300.0,Domestic Shorthair Mix,Blue,17,0,1
13572,Cat,Neutered Male,2190.0,Domestic Shorthair Mix,Brown Tabby/White,13,6,3
13573,Dog,Spayed Female,60.0,Catahoula/Pointer,Brown Merle/White,19,6,8
13574,Dog,Spayed Female,2555.0,Siberian Husky Mix,Brown,16,6,12
13575,Cat,Spayed Female,1460.0,Maine Coon Mix,Torbie,18,6,11
13576,Cat,Neutered Male,3285.0,Domestic Shorthair Mix,Black,14,2,10
13577,Cat,Intact Female,180.0,Domestic Shorthair Mix,Brown Tabby,9,5,2
13578,Dog,Neutered Male,365.0,Chihuahua Shorthair Mix,Buff,16,5,3
13579,Dog,Intact Male,3285.0,Beagle Mix,Tricolor,11,6,2
13580,Cat,Intact Male,14.0,Domestic Shorthair Mix,Brown Tabby,13,3,8
13581,Dog,Neutered Male,365.0,Jack Russell Terrier/Shih Tzu,Gray/White,17,4,1
13582,Dog,Spayed Female,1095.0,Pit Bull Mix,White/Blue,12,6,11
13583,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black,14,0,8
13584,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Tortie,13,4,2
13585,Cat,Intact Male,21.0,Domestic Medium Hair Mix,Blue Tabby,12,5,4
13586,Cat,Intact Male,730.0,Domestic Shorthair Mix,Blue/White,13,2,3
13587,Dog,Neutered Male,330.0,Boxer/American Staffordshire Terrier,Brown/White,15,6,6
13588,Dog,Neutered Male,180.0,Rat Terrier Mix,White/Brown,18,0,12
13589,Dog,Neutered Male,300.0,Jack Russell Terrier/Labrador Retriever,Sable/White,17,6,7
13590,Dog,Spayed Female,1460.0,Beagle Mix,Tan/White,14,6,12
13591,Cat,Intact Female,30.0,Snowshoe Mix,Seal Point,14,6,9
13592,Dog,Spayed Female,300.0,Pit Bull Mix,White,15,4,5
13593,Dog,Intact Female,60.0,Australian Shepherd Mix,Tricolor,16,4,12
13594,Cat,Neutered Male,90.0,Domestic Shorthair Mix,Black/White,14,6,7
13595,Dog,Neutered Male,730.0,Catahoula Mix,Brown Merle/Blue Merle,11,1,10
13596,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Blue Tabby,17,6,12
13597,Dog,Neutered Male,2920.0,Boxer/Labrador Retriever,Brown,15,1,8
13598,Dog,Spayed Female,730.0,Lhasa Apso Mix,White/Black,16,3,11
13599,Cat,Intact Male,7.0,Domestic Medium Hair Mix,White/Blue,17,4,5
13600,Dog,Neutered Male,1460.0,Basenji Mix,Tan/White,12,4,11
13601,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Tan,14,3,8
13602,Cat,Intact Male,30.0,Domestic Shorthair Mix,Black/White,0,6,10
13603,Dog,Intact Male,730.0,Miniature Poodle Mix,Black,9,4,3
13604,Dog,Spayed Female,120.0,Pit Bull Mix,Brown Brindle/White,12,3,7
13605,Cat,Intact Female,730.0,Domestic Shorthair Mix,Black,8,3,3
13606,Cat,Unknown,14.0,Domestic Shorthair Mix,Black,13,5,4
13607,Dog,Intact Male,30.0,Australian Cattle Dog Mix,Brown,17,4,5
13608,Dog,Neutered Male,365.0,Australian Kelpie Mix,Black/Tan,11,6,10
13609,Dog,Spayed Female,1095.0,Finnish Spitz/Dachshund,Red,18,0,3
13610,Cat,Intact Male,30.0,Domestic Shorthair Mix,Black/White,13,2,9
13611,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Tan,13,3,1
13612,Dog,Neutered Male,1825.0,Pit Bull Mix,Brown/White,13,6,3
13613,Dog,Intact Male,14.0,Labrador Retriever Mix,Brown,17,6,11
13614,Cat,Intact Female,730.0,Domestic Shorthair Mix,Brown Tabby/White,8,0,6
13615,Cat,Intact Male,30.0,Domestic Shorthair Mix,Brown Tabby/White,14,0,11
13616,Dog,Spayed Female,1460.0,Catahoula Mix,Yellow Brindle/White,16,5,12
13617,Dog,Neutered Male,730.0,Black Mouth Cur Mix,Tan,18,0,11
13618,Cat,Intact Male,30.0,Domestic Shorthair Mix,Black/White,13,5,5
13619,Cat,Intact Male,365.0,Domestic Shorthair Mix,White/Brown Tabby,9,5,1
13620,Cat,Unknown,7.0,Domestic Shorthair Mix,Blue Tabby,14,4,5
13621,Cat,Intact Female,30.0,Domestic Shorthair Mix,Brown Tabby,17,5,7
13622,Dog,Spayed Female,730.0,Black Mouth Cur,Tan,16,5,1
13623,Cat,Intact Male,120.0,Domestic Medium Hair Mix,Brown Tabby,9,2,8
13624,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,12,4,11
13625,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Calico,11,1,7
13626,Dog,Neutered Male,730.0,Pit Bull Mix,Chocolate/White,8,2,12
13627,Cat,Neutered Male,730.0,Domestic Longhair Mix,Brown Tabby/White,18,2,4
13628,Cat,Spayed Female,180.0,Domestic Shorthair Mix,Black,15,5,2
13629,Cat,Neutered Male,3650.0,Domestic Shorthair Mix,Brown Tabby/White,10,1,12
13630,Dog,Intact Male,365.0,Basset Hound Mix,Black/Tan,12,1,10
13631,Dog,Intact Male,2555.0,German Shorthair Pointer Mix,Black/White,16,0,12
13632,Dog,Intact Male,730.0,Feist Mix,Black,11,5,2
13633,Dog,Neutered Male,730.0,Chihuahua Shorthair,Brown/White,18,3,10
13634,Dog,Neutered Male,1825.0,Pit Bull Mix,Tan/White,18,6,12
13635,Dog,Neutered Male,3650.0,Jack Russell Terrier Mix,White/Black,11,4,1
13636,Dog,Neutered Male,1095.0,Labrador Retriever Mix,Brown/White,14,5,6
13637,Dog,Spayed Female,60.0,Labrador Retriever/American Pit Bull Terrier,Black/White,19,0,3
13638,Cat,Intact Female,150.0,Domestic Shorthair Mix,Black,9,2,9
13639,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Tortie,18,6,1
13640,Cat,Neutered Male,60.0,Siamese Mix,Flame Point,17,1,8
13641,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Torbie,18,0,7
13642,Dog,Neutered Male,1825.0,English Bulldog Mix,Brown Brindle/White,15,1,2
13643,Cat,Neutered Male,210.0,Domestic Shorthair Mix,Orange Tabby/White,17,6,6
13644,Cat,Spayed Female,1095.0,Snowshoe Mix,Chocolate Point,18,6,3
13645,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby,15,6,4
13646,Cat,Spayed Female,1095.0,Domestic Shorthair Mix,White/Brown Tabby,15,4,12
13647,Dog,Neutered Male,1095.0,Shih Tzu Mix,White/White,15,5,11
13648,Cat,Spayed Female,3650.0,Domestic Shorthair Mix,Torbie,14,0,7
13649,Cat,Intact Male,60.0,Domestic Shorthair Mix,Black,16,6,8
13650,Dog,Neutered Male,4380.0,Cocker Spaniel,Buff/White,12,2,4
13651,Dog,Spayed Female,2920.0,Labrador Retriever Mix,Buff,17,3,12
13652,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Black,17,3,4
13653,Dog,Intact Female,60.0,Labrador Retriever,White,16,5,5
13654,Dog,Neutered Male,730.0,Labrador Retriever/Pit Bull,Black/White,15,6,10
13655,Dog,Neutered Male,2555.0,Carolina Dog Mix,Buff,19,4,9
13656,Cat,Spayed Female,150.0,Domestic Shorthair Mix,Calico,11,3,12
13657,Dog,Neutered Male,365.0,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle,16,0,12
13658,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Blue Tabby/White,16,6,4
13659,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Black,16,5,7
13660,Dog,Intact Female,60.0,Catahoula Mix,Tan/White,16,0,5
13661,Cat,Intact Female,30.0,Siamese Mix,Lynx Point,16,4,7
13662,Dog,Spayed Female,1460.0,Chihuahua Shorthair Mix,Red/White,13,6,3
13663,Dog,Spayed Female,365.0,English Pointer Mix,Red/White,16,4,5
13664,Cat,Unknown,730.0,Domestic Shorthair Mix,Brown Tabby,9,6,9
13665,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby,13,6,9
13666,Dog,Intact Male,1095.0,Pit Bull Mix,Blue/White,15,1,3
13667,Dog,Spayed Female,150.0,Chihuahua Shorthair Mix,Tan,18,4,1
13668,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black/White,18,1,6
13669,Dog,Intact Female,5.0,Pit Bull Mix,Sable/White,14,3,3
13670,Cat,Neutered Male,210.0,Domestic Shorthair Mix,Orange Tabby,14,1,11
13671,Dog,Neutered Male,2555.0,Great Pyrenees Mix,Brown/Black,13,6,5
13672,Cat,Intact Female,21.0,Domestic Shorthair Mix,Brown Tabby,19,6,4
13673,Cat,Unknown,14.0,Domestic Shorthair Mix,Blue Tabby,18,1,4
13674,Dog,Spayed Female,2190.0,Collie Rough/Pembroke Welsh Corgi,Tan/Buff,19,3,7
13675,Cat,Unknown,1825.0,Domestic Medium Hair Mix,Orange Tabby,10,6,6
13676,Dog,Neutered Male,365.0,Pit Bull Mix,White/Tan,18,6,4
13677,Dog,Intact Male,300.0,Labrador Retriever/Pointer,White/Black,16,3,10
13678,Dog,Spayed Female,90.0,Chihuahua Shorthair/Cocker Spaniel,Tan/White,17,6,3
13679,Cat,Neutered Male,3285.0,Domestic Shorthair Mix,White/Orange Tabby,16,3,10
13680,Dog,Neutered Male,365.0,Chihuahua Shorthair Mix,Red,12,3,8
13681,Cat,Unknown,14.0,Domestic Shorthair Mix,Brown Tabby/White,18,1,5
13682,Cat,Unknown,14.0,Domestic Shorthair Mix,Black,18,0,5
13683,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Blue/White,13,4,11
13684,Dog,Neutered Male,1460.0,Cairn Terrier Mix,Black,13,0,3
13685,Cat,Intact Male,21.0,Domestic Shorthair Mix,Orange Tabby,16,5,4
13686,Dog,Neutered Male,4745.0,Chihuahua Shorthair,Tan/White,14,6,11
13687,Dog,Spayed Female,1095.0,Pit Bull Mix,Black/White,16,2,10
13688,Cat,Spayed Female,2920.0,Siamese Mix,Flame Point,19,6,6
13689,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black,16,2,11
13690,Dog,Spayed Female,270.0,Black Mouth Cur Mix,Tricolor,14,6,2
13691,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Blue,11,4,5
13692,Dog,Neutered Male,730.0,Doberman Pinsch Mix,Black/Tan,17,3,10
13693,Dog,Intact Male,4745.0,American Eskimo Mix,White/Tan,16,4,4
13694,Dog,Neutered Male,1460.0,Rat Terrier Mix,Black/White,17,2,2
13695,Dog,Spayed Female,1095.0,Chihuahua Shorthair Mix,Cream,11,5,4
13696,Cat,Neutered Male,365.0,Domestic Shorthair Mix,Brown Tabby,15,3,1
13697,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Blue/White,11,5,7
13698,Cat,Neutered Male,90.0,Domestic Shorthair Mix,White/Orange Tabby,14,3,7
13699,Dog,Spayed Female,1095.0,Shih Tzu,Black/White,13,4,1
13700,Dog,Neutered Male,730.0,Catahoula Mix,Black/Brown,17,2,12
13701,Dog,Neutered Male,1095.0,Chihuahua Shorthair Mix,Sable,15,0,4
13702,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby/White,11,5,10
13703,Dog,Neutered Male,1095.0,Miniature Poodle Mix,White/Pink,11,6,3
13704,Dog,Intact Female,120.0,Pit Bull Mix,Brown Brindle/White,15,3,9
13705,Cat,Spayed Female,30.0,Domestic Shorthair Mix,Calico/Brown,17,1,5
13706,Dog,Neutered Male,150.0,Chihuahua Shorthair Mix,Brown,11,4,12
13707,Cat,Intact Male,30.0,Domestic Shorthair Mix,Orange Tabby/White,15,0,6
13708,Cat,Intact Male,21.0,Domestic Shorthair Mix,Orange Tabby,15,6,5
13709,Dog,Neutered Male,365.0,American Bulldog Mix,White/Tan,13,3,12
13710,Dog,Neutered Male,365.0,Dachshund Mix,Black,16,6,12
13711,Cat,Unknown,6.0,Domestic Shorthair Mix,Black/White,14,5,8
13712,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Brown Tabby,14,6,8
13713,Cat,Intact Female,60.0,Domestic Shorthair Mix,Black,11,6,11
13714,Cat,Intact Female,21.0,Domestic Shorthair Mix,Orange Tabby/White,14,1,8
13715,Dog,Neutered Male,365.0,Great Pyrenees/Pointer,White/Orange,13,3,8
13716,Cat,Unknown,14.0,Domestic Shorthair Mix,Orange Tabby,18,5,5
13717,Dog,Neutered Male,730.0,Labrador Retriever Mix,Chocolate/Brown,16,6,11
13718,Dog,Neutered Male,180.0,Australian Cattle Dog Mix,Blue Tick,18,0,11
13719,Dog,Intact Female,7.0,Labrador Retriever Mix,Cream,18,2,10
13720,Cat,Unknown,7.0,Domestic Medium Hair Mix,White,10,4,7
13721,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Blue Tabby,14,6,10
13722,Cat,Neutered Male,180.0,Domestic Longhair Mix,Brown Tabby/White,16,2,11
13723,Cat,Spayed Female,30.0,Domestic Shorthair Mix,Brown Tabby/White,20,5,7
13724,Cat,Spayed Female,60.0,Domestic Shorthair,Tortie,14,5,7
13725,Dog,Neutered Male,730.0,Pit Bull/German Shepherd,Fawn,17,0,4
13726,Dog,Intact Female,730.0,Labrador Retriever Mix,Black,16,4,5
13727,Cat,Neutered Male,1825.0,Domestic Shorthair Mix,Black/White,17,4,10
13728,Dog,Spayed Female,365.0,Australian Shepherd Mix,White/Tan,17,2,8
13729,Dog,Neutered Male,730.0,Yorkshire Terrier/Cairn Terrier,Black/Brown,17,1,7
13730,Cat,Spayed Female,2190.0,Domestic Shorthair Mix,Blue/White,12,2,9
13731,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,16,6,10
13732,Cat,Intact Female,180.0,Domestic Shorthair Mix,Calico,9,2,12
13733,Dog,Intact Male,5.0,Pit Bull Mix,Sable,14,3,3
13734,Dog,Intact Female,7.0,Pit Bull Mix,Brown/White,12,4,8
13735,Dog,Neutered Male,1095.0,Chow Chow Mix,Red/Black,15,6,2
13736,Dog,Neutered Male,730.0,Chihuahua Shorthair/Cardigan Welsh Corgi,Sable/Cream,12,4,2
13737,Cat,Neutered Male,1095.0,Domestic Longhair Mix,Cream Tabby/White,14,1,12
13738,Dog,Neutered Male,730.0,Dachshund Mix,Tan/Black,17,3,1
13739,Dog,Neutered Male,730.0,Pit Bull Mix,Black/White,16,5,1
13740,Cat,Intact Male,30.0,Domestic Shorthair Mix,Brown Tabby/White,13,4,10
13741,Dog,Intact Male,270.0,American Pit Bull Terrier Mix,Black Brindle/White,11,4,9
13742,Dog,Spayed Female,1460.0,Australian Cattle Dog Mix,Tan/White,13,5,2
13743,Cat,Intact Female,21.0,Domestic Shorthair Mix,Blue Tabby/White,15,5,12
13744,Dog,Intact Male,120.0,Chihuahua Shorthair Mix,Tricolor,17,0,10
13745,Dog,Spayed Female,60.0,Chihuahua Shorthair Mix,Black/White,18,6,6
13746,Cat,Intact Male,730.0,Domestic Shorthair Mix,Blue,12,4,7
13747,Cat,Unknown,7.0,Domestic Shorthair Mix,Lynx Point,11,1,4
13748,Cat,Intact Male,730.0,Domestic Medium Hair Mix,Orange Tabby,14,4,1
13749,Dog,Spayed Female,2555.0,Pointer Mix,White/Brown,18,1,9
13750,Dog,Neutered Male,2190.0,Border Collie,Black/White,17,1,1
13751,Dog,Intact Male,30.0,Anatol Shepherd Mix,White/Brown,11,0,11
13752,Dog,Intact Female,365.0,Cairn Terrier Mix,Tan,12,3,2
13753,Cat,Spayed Female,60.0,Domestic Medium Hair Mix,Cream Tabby,18,0,3
13754,Cat,Spayed Female,2190.0,Domestic Shorthair Mix,Blue Tabby,13,3,2
13755,Cat,Intact Female,30.0,Domestic Shorthair Mix,Blue,15,4,11
13756,Dog,Spayed Female,60.0,Cairn Terrier Mix,Brown,11,2,11
13757,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby/White,18,0,1
13758,Dog,Neutered Male,730.0,Miniature Pinscher/Chihuahua Shorthair,Black/Tan,13,5,3
13759,Cat,Neutered Male,300.0,Domestic Shorthair Mix,Black,12,0,12
13760,Cat,Unknown,7.0,Domestic Shorthair Mix,Orange Tabby/White,16,0,6
13761,Dog,Spayed Female,1825.0,Beagle Mix,White/Brown,17,3,3
13762,Cat,Spayed Female,1095.0,Domestic Shorthair Mix,Tortie,12,2,4
13763,Dog,Neutered Male,365.0,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan,13,2,10
13764,Dog,Intact Male,1095.0,Beagle Mix,Red/White,15,5,9
13765,Dog,Neutered Male,730.0,Shih Tzu Mix,White/Brown,12,3,11
13766,Cat,Neutered Male,1460.0,Domestic Shorthair Mix,Brown Tabby,18,6,9
13767,Dog,Spayed Female,730.0,Dachshund Mix,Black/White,12,2,2
13768,Dog,Spayed Female,1095.0,Australian Shepherd/Parson Russell Terrier,Tricolor,18,1,9
13769,Dog,Spayed Female,2920.0,Toy Poodle,White,10,2,1
13770,Cat,Neutered Male,2555.0,Domestic Shorthair Mix,Black,15,5,4
13771,Dog,Neutered Male,730.0,American Bulldog Mix,White/Red,16,6,9
13772,Cat,Intact Male,180.0,Domestic Shorthair Mix,Black,16,0,10
13773,Dog,Spayed Female,1825.0,Dachshund Mix,Black,17,5,12
13774,Dog,Spayed Female,1460.0,Pit Bull/Chow Chow,Tan/White,18,2,1
13775,Dog,Spayed Female,1825.0,German Shepherd Mix,Sable,12,6,1
13776,Dog,Spayed Female,300.0,Boston Terrier Mix,Tan/Black,17,0,2
13777,Cat,Intact Male,30.0,Domestic Shorthair Mix,Black/White,11,1,10
13778,Dog,Neutered Male,365.0,Queensland Heeler,Red/White,16,6,8
13779,Dog,Intact Male,4015.0,German Shepherd Mix,Black/Tan,12,0,6
13780,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,13,5,7
13781,Cat,Intact Male,30.0,Domestic Shorthair Mix,Orange Tabby,15,1,11
13782,Cat,Spayed Female,1095.0,Domestic Shorthair Mix,Brown Tabby/White,15,4,12
13783,Dog,Neutered Male,270.0,German Shepherd Mix,Tan/Brown,15,2,4
13784,Dog,Intact Female,2.0,Pit Bull Mix,Chocolate/White,12,5,12
13785,Cat,Neutered Male,1095.0,Siamese Mix,Seal Point,16,5,4
13786,Cat,Intact Male,90.0,Domestic Shorthair Mix,Black,13,4,12
13787,Cat,Unknown,7.0,Domestic Shorthair Mix,Black/White,19,4,6
13788,Cat,Spayed Female,60.0,Siamese,Seal Point,12,4,7
13789,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Orange Tabby,16,2,7
13790,Cat,Unknown,90.0,Domestic Shorthair Mix,Cream Tabby,14,3,4
13791,Dog,Spayed Female,300.0,Pit Bull Mix,Blue/White,13,4,2
13792,Cat,Neutered Male,150.0,Domestic Shorthair Mix,Orange Tabby,19,1,9
13793,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,14,2,11
13794,Cat,Intact Female,90.0,Domestic Shorthair Mix,Blue Tabby,18,6,8
13795,Dog,Spayed Female,1825.0,Chihuahua Shorthair Mix,Red,16,3,4
13796,Dog,Spayed Female,1825.0,Chihuahua Shorthair Mix,Black/White,15,4,9
13797,Dog,Spayed Female,1095.0,Chihuahua Shorthair Mix,Tan,14,3,10
13798,Dog,Intact Male,180.0,Bull Terrier Mix,White,17,3,9
13799,Dog,Neutered Male,270.0,Chinese Sharpei/Labrador Retriever,Tan,13,3,1
13800,Dog,Intact Female,3650.0,Border Collie Mix,Black,13,5,1
13801,Dog,Neutered Male,1460.0,American Staffordshire Terrier Mix,Black/White,18,6,10
13802,Cat,Intact Male,90.0,Domestic Shorthair Mix,Black,9,1,9
13803,Dog,Intact Male,180.0,Labrador Retriever Mix,Black/White,15,0,1
13804,Cat,Neutered Male,365.0,Domestic Shorthair Mix,Brown Tabby,13,1,7
13805,Dog,Spayed Female,6570.0,Chihuahua Shorthair Mix,Yellow,12,3,11
13806,Dog,Neutered Male,2920.0,Labrador Retriever Mix,Yellow,16,4,4
13807,Cat,Neutered Male,150.0,Domestic Shorthair Mix,White/Orange Tabby,12,1,12
13808,Dog,Neutered Male,1095.0,Chihuahua Shorthair,Brown,13,3,7
13809,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Brown Tabby/White,17,0,8
13810,Dog,Neutered Male,365.0,English Bulldog/Boxer,Brown/White,18,5,4
13811,Dog,Neutered Male,2920.0,Labrador Retriever/Australian Cattle Dog,Red,11,6,7
13812,Dog,Neutered Male,1095.0,Mastiff Mix,Sable,18,3,12
13813,Cat,Neutered Male,1095.0,Snowshoe Mix,Seal Point,15,2,10
13814,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Tortie,18,1,1
13815,Cat,Spayed Female,150.0,Domestic Shorthair Mix,Calico,19,0,12
13816,Dog,Spayed Female,210.0,Labrador Retriever Mix,Black/White,16,5,1
13817,Cat,Intact Female,90.0,Domestic Shorthair Mix,Black,9,4,10
13818,Dog,Spayed Female,730.0,Australian Kelpie/Pit Bull,Red/White,12,6,2
13819,Cat,Intact Male,14.0,Domestic Shorthair Mix,Orange Tabby/White,16,0,9
13820,Dog,Neutered Male,150.0,Labrador Retriever Mix,Chocolate/White,19,5,2
13821,Dog,Intact Male,3285.0,Pit Bull,Blue/White,16,6,10
13822,Dog,Neutered Male,1095.0,Border Collie Mix,Black/White,0,0,8
13823,Cat,Spayed Female,240.0,Domestic Shorthair Mix,Black,17,0,1
13824,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby/White,18,0,6
13825,Dog,Intact Male,1095.0,Labrador Retriever Mix,White/Brown,15,1,10
13826,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black/White,17,3,5
13827,Cat,Neutered Male,1095.0,Domestic Shorthair Mix,Orange Tabby,17,2,7
