AnimalID,Name,Date,weekday,Month,Time (hour),,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A703924,Groucho,"Friday, July 17, 2015",Friday,Jul,3:44:00 PM,15,Adoption,,Cat,Neutered Male,4 months,Domestic Medium Hair,Black/White
A651766,Charlie,"Friday, June 20, 2014",Friday,Jun,7:03:00 PM,19,Return_to_owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Red
A683547,Dimples,"Friday, August 01, 2014",Friday,Aug,8:27:00 AM,8,Died,In Foster,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby/White
A709225,Pinky Pie,"Tuesday, August 18, 2015",Tuesday,Aug,6:00:00 PM,18,Return_to_owner,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
A689320,Sereno,"Friday, October 03, 2014",Friday,Oct,6:58:00 PM,18,Return_to_owner,,Dog,Neutered Male,15 years,Miniature Schnauzer Mix,Gray/White
A698536,Ash,"Monday, March 30, 2015",Monday,Mar,3:25:00 PM,15,Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Blue Merle
A684297,Dj,"Wednesday, July 23, 2014",Wednesday,Jul,3:40:00 PM,15,Euthanasia,Suffering,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Tan
A684206,Ernie,"Friday, December 12, 2014",Friday,Dec,8:36:00 AM,8,Adoption,Foster,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby/White
A695960,Aldo,"Wednesday, January 28, 2015",Wednesday,Jan,11:14:00 AM,11,Return_to_owner,,Dog,Neutered Male,2 years,Bedlington Terr Mix,White
A703284,Piper,"Tuesday, May 26, 2015",Tuesday,May,3:20:00 PM,15,Transfer,Partner,Dog,Spayed Female,6 months,Chow Chow,Buff/Black
A685084,Hazel,"Thursday, August 21, 2014",Thursday,Aug,6:31:00 PM,18,Adoption,Foster,Dog,Spayed Female,2 months,Boxer Mix,Black/White
A701128,Q,"Tuesday, May 05, 2015",Tuesday,May,5:02:00 PM,17,Transfer,Partner,Dog,Neutered Male,5 years,Cane Corso/Mastiff,Tan/Black
A688531,Nooli,"Tuesday, September 23, 2014",Tuesday,Sep,12:47:00 PM,12,Transfer,Partner,Dog,Neutered Male,5 years,Silky Terrier Mix,Buff
A670511,,"Saturday, January 18, 2014",Saturday,Jan,6:27:00 PM,18,Adoption,,Dog,Spayed Female,2 years,Chihuahua Longhair Mix,Buff
A679744,,"Sunday, May 25, 2014",Sunday,May,3:55:00 PM,15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A711704,,"Saturday, September 12, 2015",Saturday,Sep,6:58:00 PM,18,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A685081,Ranger,"Tuesday, August 05, 2014",Tuesday,Aug,11:32:00 AM,11,Return_to_owner,,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Blue Merle
A681908,,"Wednesday, July 23, 2014",Wednesday,Jul,5:06:00 PM,17,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black
A688024,Belle,"Saturday, September 13, 2014",Saturday,Sep,5:21:00 PM,17,Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair/Pug,Brown
A687360,Nila,"Wednesday, November 12, 2014",Wednesday,Nov,11:41:00 AM,11,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
A709088,Jerry,"Saturday, August 08, 2015",Saturday,Aug,12:15:00 PM,12,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Blue Tabby/White
A718536,Bella,"Friday, January 08, 2016",Friday,Jan,3:47:00 PM,15,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A690540,Buddy,"Tuesday, October 28, 2014",Tuesday,Oct,3:34:00 PM,15,Transfer,Partner,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Blue/White
A686015,,"Monday, August 18, 2014",Monday,Aug,3:34:00 PM,15,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever/Pointer,Black/White
A719400,Savannah,"Saturday, January 23, 2016",Saturday,Jan,6:14:00 PM,18,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie
A686648,Eli,"Wednesday, August 27, 2014",Wednesday,Aug,1:44:00 PM,13,Transfer,Partner,Dog,Neutered Male,3 years,American Pit Bull Terrier Mix,Fawn/White
A697322,Ralph,"Saturday, February 28, 2015",Saturday,Feb,5:25:00 PM,17,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
A699671,Peterrabbit,"Saturday, April 04, 2015",Saturday,Apr,5:43:00 PM,17,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A687187,Hopper,"Monday, October 13, 2014",Monday,Oct,12:14:00 PM,12,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
A702608,Emily,"Sunday, July 19, 2015",Sunday,Jul,6:40:00 PM,18,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A711997,Cuddy,"Thursday, October 15, 2015",Thursday,Oct,6:24:00 PM,18,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A650967,Hunter,"Monday, January 27, 2014",Monday,Jan,12:34:00 PM,12,Return_to_owner,,Cat,Neutered Male,3 years,Domestic Longhair Mix,Orange Tabby/White
A680420,Bach,"Wednesday, July 09, 2014",Wednesday,Jul,12:35:00 PM,12,Adoption,Foster,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Blue/White
A670613,Nelson,"Sunday, February 02, 2014",Sunday,Feb,2:52:00 PM,14,Adoption,,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Orange Tabby
A687768,Posey,"Wednesday, November 19, 2014",Wednesday,Nov,5:18:00 PM,17,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A699390,Roscco,"Monday, March 30, 2015",Monday,Mar,4:58:00 PM,16,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
A681230,,"Saturday, June 14, 2014",Saturday,Jun,12:49:00 PM,12,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
A715264,,"Sunday, November 08, 2015",Sunday,Nov,9:03:00 AM,9,Euthanasia,Rabies Risk,Dog,Intact Male,2 years,Rat Terrier,Tricolor
A663825,,"Wednesday, October 02, 2013",Wednesday,Oct,3:25:00 PM,15,Transfer,Partner,Dog,Spayed Female,8 months,Labrador Retriever Mix,Brown
A665489,Nina,"Sunday, October 27, 2013",Sunday,Oct,12:43:00 PM,12,Adoption,,Dog,Spayed Female,3 months,Queensland Heeler Mix,Blue Merle
A705373,,"Tuesday, June 16, 2015",Tuesday,Jun,5:46:00 PM,17,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A670390,Darla,"Thursday, January 16, 2014",Thursday,Jan,3:00:00 PM,15,Transfer,Partner,Dog,Spayed Female,9 years,Dachshund Mix,Red
A667837,Kuki,"Tuesday, June 17, 2014",Tuesday,Jun,6:52:00 PM,18,Return_to_owner,,Dog,Spayed Female,2 years,Cocker Spaniel Mix,Red/White
A700850,,"Sunday, April 26, 2015",Sunday,Apr,7:01:00 PM,19,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Chocolate/White
A671882,Shellby,"Saturday, February 15, 2014",Saturday,Feb,12:34:00 PM,12,Adoption,Offsite,Dog,Spayed Female,6 months,Pit Bull Mix,Black/White
A707393,,"Friday, July 17, 2015",Friday,Jul,1:30:00 PM,13,Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Black/Tricolor
A719340,Benny,"Thursday, January 28, 2016",Thursday,Jan,5:55:00 PM,17,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair/Dachshund,Tan/White
A698131,Ruby Rose,"Wednesday, July 08, 2015",Wednesday,Jul,3:23:00 PM,15,Transfer,Partner,Dog,Spayed Female,3 years,Dachshund Mix,Red/White
A674111,Julia,"Thursday, March 13, 2014",Thursday,Mar,1:41:00 PM,13,Transfer,Partner,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Tan
A713052,,"Friday, October 02, 2015",Friday,Oct,12:37:00 PM,12,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby
A718933,Pablito,"Wednesday, January 13, 2016",Wednesday,Jan,1:28:00 PM,13,Transfer,Partner,Dog,Neutered Male,4 months,Chihuahua Shorthair Mix,Brown/White
A487013,Mystical,"Friday, May 15, 2015",Friday,May,5:01:00 PM,17,Return_to_owner,,Dog,Neutered Male,10 years,Boxer/Pit Bull,White/Black
A705370,,"Tuesday, June 16, 2015",Tuesday,Jun,5:46:00 PM,17,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Cream Tabby
A688154,Honey,"Saturday, December 06, 2014",Saturday,Dec,3:06:00 PM,15,Adoption,Offsite,Dog,Spayed Female,3 years,Staffordshire Mix,Brown Brindle
A686962,Chikis,"Wednesday, September 10, 2014",Wednesday,Sep,10:14:00 AM,10,Euthanasia,Aggressive,Dog,Spayed Female,1 year,Mastiff Mix,Black Brindle
A687757,Jersey,"Friday, September 12, 2014",Friday,Sep,12:34:00 PM,12,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie Point
A705789,,"Sunday, June 21, 2015",Sunday,Jun,4:53:00 PM,16,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
A694078,Kinsey,"Sunday, January 18, 2015",Sunday,Jan,4:21:00 PM,16,Adoption,,Dog,Spayed Female,10 years,Soft Coated Wheaten Terrier/Standard Poodle,Black/White
A686776,Koda,"Wednesday, August 27, 2014",Wednesday,Aug,6:33:00 PM,18,Return_to_owner,,Dog,Neutered Male,3 years,Siberian Husky,Black/White
A703955,Lady,"Tuesday, June 02, 2015",Tuesday,Jun,2:42:00 PM,14,Return_to_owner,,Dog,Spayed Female,9 years,Golden Retriever Mix,Red
A700041,,"Tuesday, April 07, 2015",Tuesday,Apr,9:00:00 AM,9,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Tortie/White
A676012,Isis,"Sunday, June 15, 2014",Sunday,Jun,6:38:00 PM,18,Adoption,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Orange Tabby
A711735,Juanita,"Sunday, September 13, 2015",Sunday,Sep,5:54:00 PM,17,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
A681527,,"Saturday, June 21, 2014",Saturday,Jun,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Medium Hair Mix,Black/White
A676917,Gretel,"Thursday, April 17, 2014",Thursday,Apr,1:38:00 PM,13,Transfer,Partner,Dog,Intact Female,3 months,Chihuahua Shorthair Mix,Black/White
A708278,,"Sunday, July 26, 2015",Sunday,Jul,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
A717354,,"Saturday, December 19, 2015",Saturday,Dec,5:25:00 PM,17,Transfer,Partner,Dog,Intact Female,4 months,Golden Retriever Mix,Gold
A670905,Frannie,"Tuesday, January 21, 2014",Tuesday,Jan,12:21:00 PM,12,Adoption,,Dog,Spayed Female,2 months,Australian Shepherd/Labrador Retriever,Tan/White
A716115,Moose,"Saturday, November 21, 2015",Saturday,Nov,6:55:00 PM,18,Adoption,,Dog,Neutered Male,2 years,Landseer Mix,White/Black
A705615,Vivian,"Thursday, July 02, 2015",Thursday,Jul,12:00:00 AM,0,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Blue Tabby
A690372,Kovu,"Thursday, October 23, 2014",Thursday,Oct,4:30:00 PM,16,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Black/Tan
A698755,,"Saturday, March 21, 2015",Saturday,Mar,5:32:00 PM,17,Adoption,,Dog,Neutered Male,3 months,Catahoula Mix,Black Brindle/White
A714750,Max,"Saturday, November 07, 2015",Saturday,Nov,6:17:00 PM,18,Adoption,,Dog,Neutered Male,1 year,Plott Hound Mix,Black Brindle
A694325,Aurora,"Wednesday, January 07, 2015",Wednesday,Jan,5:41:00 PM,17,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown/White
A528321,Kuma,"Sunday, May 18, 2014",Sunday,May,5:42:00 PM,17,Adoption,,Dog,Spayed Female,6 years,Akita,White
A715746,,"Tuesday, November 10, 2015",Tuesday,Nov,9:00:00 AM,9,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
A696781,Winnie,"Sunday, March 29, 2015",Sunday,Mar,12:55:00 PM,12,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A671055,Emma,"Tuesday, January 21, 2014",Tuesday,Jan,4:02:00 PM,16,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Cream Tabby
A715545,Minnie,"Saturday, November 07, 2015",Saturday,Nov,5:23:00 PM,17,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor
A672324,,"Thursday, February 13, 2014",Thursday,Feb,3:07:00 PM,15,Transfer,Partner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black
A705090,Stormy,"Saturday, June 13, 2015",Saturday,Jun,12:30:00 PM,12,Return_to_owner,,Dog,Intact Female,3 months,Miniature Schnauzer Mix,Black
A701435,,"Sunday, May 03, 2015",Sunday,May,12:36:00 PM,12,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Brown
A709460,Piper,"Tuesday, September 01, 2015",Tuesday,Sep,6:39:00 PM,18,Adoption,,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie
A670203,Gucci,"Sunday, January 05, 2014",Sunday,Jan,6:02:00 PM,18,Return_to_owner,,Dog,Spayed Female,2 years,Catahoula Mix,Brown Merle/White
A710550,,"Tuesday, August 25, 2015",Tuesday,Aug,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie
A720807,Luna,"Monday, February 15, 2016",Monday,Feb,4:15:00 PM,16,Adoption,,Dog,Spayed Female,1 year,Miniature Schnauzer/Maltese,White/Gray
A686840,Bella,"Friday, February 20, 2015",Friday,Feb,11:36:00 AM,11,Adoption,Foster,Cat,Spayed Female,7 years,Snowshoe Mix,Seal Point/White
A684654,Minneloa,"Monday, July 28, 2014",Monday,Jul,2:42:00 PM,14,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A689936,Tux,"Wednesday, October 15, 2014",Wednesday,Oct,7:05:00 PM,19,Return_to_owner,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A679711,Max,"Wednesday, June 04, 2014",Wednesday,Jun,1:36:00 PM,13,Return_to_owner,,Dog,Neutered Male,14 years,Australian Cattle Dog/German Shepherd,Brown
A665567,Baby,"Sunday, April 06, 2014",Sunday,Apr,3:15:00 PM,15,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Chocolate/White
A673076,Nero,"Saturday, March 08, 2014",Saturday,Mar,2:00:00 PM,14,Adoption,,Dog,Neutered Male,6 years,Maltese,White
A682392,Biggles,"Thursday, July 03, 2014",Thursday,Jul,12:12:00 PM,12,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A704152,,"Tuesday, June 02, 2015",Tuesday,Jun,10:00:00 AM,10,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A695884,Marcus,"Thursday, May 28, 2015",Thursday,May,1:14:00 PM,13,Transfer,Partner,Dog,Neutered Male,3 years,Chow Chow Mix,Red
A693963,,"Saturday, December 27, 2014",Saturday,Dec,11:09:00 AM,11,Return_to_owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,White/Blue
A703959,,"Saturday, May 30, 2015",Saturday,May,6:42:00 PM,18,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby
A668327,Riley,"Saturday, December 21, 2013",Saturday,Dec,3:08:00 PM,15,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
A711759,Selah,"Wednesday, September 16, 2015",Wednesday,Sep,4:49:00 PM,16,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/Tan
A701219,Tilly,"Thursday, May 07, 2015",Thursday,May,2:49:00 PM,14,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby
A609281,Star,"Friday, July 11, 2014",Friday,Jul,12:54:00 PM,12,Return_to_owner,,Dog,Spayed Female,5 years,American Pit Bull Terrier,Chocolate/White
A679835,Lola,"Monday, October 06, 2014",Monday,Oct,5:53:00 PM,17,Adoption,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black/White
A710241,Pastel,"Saturday, September 05, 2015",Saturday,Sep,5:43:00 PM,17,Adoption,,Cat,Spayed Female,3 years,Pixiebob Shorthair Mix,Calico
A685696,Pink,"Sunday, July 19, 2015",Sunday,Jul,7:18:00 PM,19,Adoption,Foster,Cat,Spayed Female,11 months,Domestic Shorthair Mix,Orange Tabby
A591877,Precious,"Friday, December 12, 2014",Friday,Dec,4:13:00 PM,16,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Yellow
A432065,Sheba,"Sunday, March 23, 2014",Sunday,Mar,6:11:00 PM,18,Transfer,Partner,Dog,Spayed Female,8 years,German Shepherd Mix,Black/Brown
A701665,Mystic,"Tuesday, May 19, 2015",Tuesday,May,4:34:00 PM,16,Transfer,Partner,Dog,Intact Female,4 years,Greyhound,Fawn
A634608,Silver,"Friday, December 27, 2013",Friday,Dec,3:49:00 PM,15,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby
A692479,Ashley,"Wednesday, December 10, 2014",Wednesday,Dec,3:07:00 PM,15,Transfer,Partner,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Blue Tabby
A704316,Spatz,"Saturday, July 04, 2015",Saturday,Jul,10:30:00 AM,10,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A664927,Chiko,"Monday, October 21, 2013",Monday,Oct,5:40:00 PM,17,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull/Basset Hound,Tan/White
A712932,Annie,"Wednesday, October 07, 2015",Wednesday,Oct,12:04:00 PM,12,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A716635,Penny,"Sunday, December 20, 2015",Sunday,Dec,6:22:00 PM,18,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A710225,,"Monday, August 31, 2015",Monday,Aug,3:07:00 PM,15,Return_to_owner,,Dog,Spayed Female,2 years,Pomeranian Mix,Buff/White
A693422,,"Monday, December 08, 2014",Monday,Dec,6:17:00 PM,18,Adoption,,Dog,Neutered Male,2 months,Wire Hair Fox Terrier/Beagle,Blue/Cream
A667355,Mittens,"Thursday, April 24, 2014",Thursday,Apr,1:01:00 PM,13,Adoption,,Cat,Spayed Female,7 months,Maine Coon Mix,Brown Tabby/White
A685374,,"Wednesday, August 06, 2014",Wednesday,Aug,7:23:00 PM,19,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black Tabby
A715173,,"Friday, November 06, 2015",Friday,Nov,4:40:00 PM,16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A703880,,"Friday, May 29, 2015",Friday,May,6:48:00 PM,18,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Brown Tabby
A696145,Bubba,"Sunday, March 15, 2015",Sunday,Mar,3:53:00 PM,15,Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,Red/Black
A714800,Hugo,"Monday, November 23, 2015",Monday,Nov,2:35:00 PM,14,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Longhair Mix,Silver Tabby
A704174,Jessa,"Wednesday, June 03, 2015",Wednesday,Jun,1:07:00 PM,13,Return_to_owner,,Dog,Spayed Female,6 months,Australian Cattle Dog,Yellow/White
A688908,Loki,"Sunday, September 28, 2014",Sunday,Sep,1:03:00 PM,13,Return_to_owner,,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White
A693570,Jax,"Sunday, January 11, 2015",Sunday,Jan,6:11:00 PM,18,Adoption,,Dog,Neutered Male,8 months,Doberman Pinsch Mix,Blue/Tan
A669245,Bo,"Sunday, January 26, 2014",Sunday,Jan,1:15:00 PM,13,Transfer,Partner,Dog,Spayed Female,1 year,Boxer Mix,Black/White
A684300,Rumierre,"Saturday, August 22, 2015",Saturday,Aug,2:28:00 PM,14,Adoption,Foster,Cat,Neutered Male,13 years,Domestic Medium Hair Mix,Brown Tabby/White
A651543,Rocky,"Thursday, March 13, 2014",Thursday,Mar,11:23:00 AM,11,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/White
A664734,,"Wednesday, October 09, 2013",Wednesday,Oct,4:34:00 PM,16,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A703387,Jack,"Wednesday, July 01, 2015",Wednesday,Jul,7:37:00 AM,7,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A702787,Ebert,"Sunday, June 07, 2015",Sunday,Jun,4:14:00 PM,16,Transfer,Partner,Dog,Intact Male,2 years,Bull Terrier/Pit Bull,White/Brown
A684385,,"Tuesday, July 22, 2014",Tuesday,Jul,6:55:00 PM,18,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A720946,Bart,"Sunday, February 21, 2016",Sunday,Feb,12:00:00 AM,0,Transfer,Partner,Dog,Neutered Male,2 months,Rottweiler Mix,Tricolor
A689024,Tookies,"Sunday, October 12, 2014",Sunday,Oct,12:45:00 PM,12,Adoption,,Dog,Spayed Female,5 years,Chihuahua Longhair Mix,Tan/White
A670973,Pete,"Sunday, February 02, 2014",Sunday,Feb,11:18:00 AM,11,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
A698902,Fiona,"Friday, March 27, 2015",Friday,Mar,12:49:00 PM,12,Adoption,,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,White/Black
A705189,,"Friday, June 19, 2015",Friday,Jun,3:25:00 PM,15,Return_to_owner,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Black
A671947,Matt,"Monday, February 10, 2014",Monday,Feb,5:52:00 PM,17,Adoption,,Dog,Neutered Male,10 months,Pit Bull Mix,Chocolate/White
A694422,Calla,"Saturday, January 24, 2015",Saturday,Jan,11:39:00 AM,11,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A695025,Finn,"Thursday, January 29, 2015",Thursday,Jan,3:32:00 PM,15,Adoption,,Dog,Neutered Male,6 years,Rottweiler Mix,Black/Tan
A704689,Hailey,"Monday, June 15, 2015",Monday,Jun,3:42:00 PM,15,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Tan/Black
A666682,Ivy,"Saturday, March 22, 2014",Saturday,Mar,1:53:00 PM,13,Adoption,Offsite,Cat,Spayed Female,10 months,Domestic Longhair Mix,Calico
A699113,,"Monday, March 23, 2015",Monday,Mar,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair,Tortie
A672658,Artemis,"Tuesday, February 18, 2014",Tuesday,Feb,5:12:00 PM,17,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Tricolor/Tan
A657795,Jack,"Thursday, December 04, 2014",Thursday,Dec,4:00:00 PM,16,Return_to_owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
A673736,Midnight,"Saturday, March 01, 2014",Saturday,Mar,3:10:00 PM,15,Adoption,,Dog,Intact Male,13 years,Labrador Retriever Mix,Black
A676653,,"Friday, April 18, 2014",Friday,Apr,9:35:00 AM,9,Transfer,Partner,Dog,Intact Male,11 months,Labrador Retriever Mix,Tan/White
A673201,Memphis,"Sunday, April 06, 2014",Sunday,Apr,6:06:00 PM,18,Adoption,,Dog,Neutered Male,6 months,Pit Bull Mix,Brown Brindle/White
A696668,Zoey,"Monday, May 25, 2015",Monday,May,3:02:00 PM,15,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Sable
A626405,Ziven,"Wednesday, October 30, 2013",Wednesday,Oct,11:45:00 AM,11,Return_to_owner,,Dog,Neutered Male,5 years,Great Dane Mix,White/Black
A666717,Nikki,"Wednesday, January 22, 2014",Wednesday,Jan,3:01:00 PM,15,Adoption,,Dog,Spayed Female,6 years,Cane Corso Mix,Black
A691630,Lucky,"Saturday, January 24, 2015",Saturday,Jan,6:32:00 PM,18,Adoption,,Dog,Neutered Male,11 months,Miniature Poodle Mix,White
A714879,,"Thursday, November 05, 2015",Thursday,Nov,12:00:00 AM,0,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Brown/Brown
A676067,,"Saturday, April 05, 2014",Saturday,Apr,7:57:00 AM,7,Died,In Kennel,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tan/White
A669324,Shasta,"Wednesday, January 29, 2014",Wednesday,Jan,7:16:00 PM,19,Adoption,,Dog,Spayed Female,1 year,Staffordshire/French Bulldog,Fawn/White
A668457,Berdie,"Thursday, December 05, 2013",Thursday,Dec,2:44:00 PM,14,Return_to_owner,,Dog,Spayed Female,8 years,Miniature Poodle Mix,Gray
A693075,Charlie,"Monday, December 01, 2014",Monday,Dec,2:47:00 PM,14,Return_to_owner,,Dog,Intact Male,3 years,Labrador Retriever Mix,Brown Brindle
A679438,Patches,"Sunday, May 25, 2014",Sunday,May,2:52:00 PM,14,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie/White
A679045,,"Thursday, May 15, 2014",Thursday,May,5:27:00 PM,17,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Black/White
A714260,,"Tuesday, October 20, 2015",Tuesday,Oct,5:13:00 PM,17,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
A713871,Riley Grace,"Monday, October 26, 2015",Monday,Oct,12:00:00 AM,0,Transfer,Partner,Dog,Spayed Female,6 years,Border Collie Mix,Black
A710738,Kit-Kat,"Sunday, November 01, 2015",Sunday,Nov,6:02:00 PM,18,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A686982,Pumpkin,"Saturday, October 18, 2014",Saturday,Oct,6:13:00 PM,18,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A693542,Beast,"Tuesday, December 16, 2014",Tuesday,Dec,3:17:00 PM,15,Return_to_owner,,Dog,Intact Male,5 years,Pit Bull Mix,Blue/White
A701934,,"Wednesday, May 06, 2015",Wednesday,May,4:31:00 PM,16,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A664671,Lucky,"Thursday, October 17, 2013",Thursday,Oct,11:16:00 AM,11,Return_to_owner,,Dog,Intact Male,14 years,Siberian Husky Mix,Black/White
A696924,Danny Boy,"Wednesday, February 25, 2015",Wednesday,Feb,7:19:00 PM,19,Return_to_owner,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black
A666576,,"Wednesday, November 06, 2013",Wednesday,Nov,7:18:00 AM,7,Transfer,Partner,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Buff
